name,mac,rssi,distance
Beaco12,ac:23:3f:65:f7:99,-60,0.6189658188912606
Beaco13,ac:23:3f:65:f7:a5,-71,1.7782794100389228
Beaco18,ac:23:3f:65:f7:97,-78,3.4807005884284106
Beacon7,ac:23:3f:65:f7:9d,-68,1.333521432163324
Beacon6,ac:23:3f:65:f7:9c,-62,0.7498942093324559
Beaco11,ac:23:3f:65:f7:a0,-84,6.189658188912605
Beacon4,ac:23:3f:65:f7:9a,-83,5.623413251903491
Beacon5,ac:23:3f:65:f7:a9,-69,1.4677992676220695
Beaco19,ac:23:3f:65:f7:98,-70,1.6155980984398741
Beaco17,ac:23:3f:65:f7:9f,-73,2.154434690031884
Beacon3,ac:23:3f:65:f7:96,-77,3.1622776601683795
Beaco20,ac:23:3f:65:f7:9b,-80,4.216965034285822
